"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"670359169497767938","","","2015-11-27 21:50:55 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Bedford highway is a parking lot. @hfxtraffic https://t.co/5Dy3JFKPDr","","","","http://twitter.com/peoii/status/670359169497767938/photo/1,http://twitter.com/peoii/status/670359169497767938/photo/1"
"669940535923073024","","","2015-11-26 18:07:25 +0000","<a href=""https://gleam.io"" rel=""nofollow"">Gleam Competition App</a>","RT @Razer: Enter our #BlizzCon giveaway for a chance to score some awesome loot: https://t.co/OEmWonIV39 https://t.co/vNp6ymyg2a","662737262589796352","15880163","2015-11-06 21:04:11 +0000","http://rzr.to/blizzcon15,http://twitter.com/Razer/status/662737262589796352/photo/1,http://rzr.to/blizzcon15,http://twitter.com/Razer/status/662737262589796352/photo/1"
"666230223336251392","","","2015-11-16 12:23:57 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","I miss my grandmothers.  In the 4 years I've been in Canada, I've now lost both. :(","","","",""
"665361090423967744","","","2015-11-14 02:50:20 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Thoughts and hopes with Paris and those with family and friends there. #Paris","","","",""
"665360913856237568","","","2015-11-14 02:49:38 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Man, if the world treated the US after 9/11 like some of the US are treating Paris right now? They'd have gone to war with everyone. #BadUSA","","","",""
"664626484993241088","","","2015-11-12 02:11:16 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","What a wonderful holiday with @cdnmaple6 , nice to relax and enjoy a quiet time.","","","",""
"663900103921508352","","","2015-11-10 02:04:54 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Just watched our cat Sasha tear ass to beat @cdnmaple6 to the toilet for her brushins.  Absolutely epic.","","","",""
"663694605049839616","","","2015-11-09 12:28:19 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Beautiful morning, crisp and clean. Yet it is a Monday, so it is evil by nature.","","","",""
"662987801357647872","","","2015-11-07 13:39:44 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Hey @hfxtransit , if you want increased ridership, buses shouldn't be more than 10 minutes early.  #ontimenotontime","","","",""
"662026325155299328","","","2015-11-04 21:59:10 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","What #halfax needs is a semi reliable transportation system.","","","",""
"659126691424555008","","","2015-10-27 21:57:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","If your website directs me to the wrong location to place an order from, I direct my money to another company. #FixYourWebsite #Not3rdWorld","","","",""
"658969159926226944","","","2015-10-27 11:31:05 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Brisk morning, probably my favourite weather.  Good start to a day.","","","",""
"658109315065237504","","","2015-10-25 02:34:22 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Body: ""You should sleep! You're ill, and need your rest""  Me: ""Sure!""  Body: ""Fooled you, can't fall asleep, mind won't stop running"". Ugh.","","","",""
"657297040133738497","","","2015-10-22 20:46:41 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Server rooms are either a thing of beauty or a rat nest.  So nice to see a well done one.","","","",""
"656438553019338752","","","2015-10-20 11:55:21 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","And the voice of a million angry Canadians cried out ""No more Harper"", and it was good","","","",""
"654747304969146368","654745271683842048","95836403","2015-10-15 19:54:56 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","@AmourAnnette Green. Absolutely green.","","","",""
"654747084801748992","","","2015-10-15 19:54:04 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Come on @Eastlink , It's all about the Johns. John deLancie, and John Rhys-Davies. #EastlinkHalCon","","","",""
"651855278175059970","","","2015-10-07 20:23:03 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Beautiful day out, with a nice crisp breeze. Love it. http://t.co/7VvZQfx6fi","","","","http://twitter.com/peoii/status/651855278175059970/photo/1"
"646430857201369088","","","2015-09-22 21:08:21 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Verifying myself: I am jharrell on Keybase.io. d4PmFgwiTx_kT-8BQfWmMu4fVZMYUXYNXsqK / https://t.co/nJiB9fokYv","","","","https://keybase.io/jharrell/sigs/d4PmFgwiTx_kT-8BQfWmMu4fVZMYUXYNXsqK"
"644614477527318529","","","2015-09-17 20:50:42 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","The obvious reason for this @Eastlink outage is the IOS9 downloads. I blame you apple, and all your fanboys too.","","","",""
"644580781755629568","","","2015-09-17 18:36:48 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","RT @Eastlink: We are aware of an issue affecting some customers in the Halifax area. Our technical team is working to restore services as s…","644580122419458048","134862737","2015-09-17 18:34:11 +0000",""
"644573592194314240","","","2015-09-17 18:08:14 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","That moment when you are in the middle of a server configuration edit and your internet dies. #gg","","","",""
"642126665620058112","","","2015-09-11 00:05:01 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Enjoying a great nerdy evening with @cdnmaple6 , love her so much.","","","",""
"639621592293621760","639470664081145856","281386075","2015-09-04 02:10:45 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","@cdnmaple6 @hfxoktoberfest @BigSpruceBrew This, this is exactly why I fell in love with you.","","","",""
"639621420889214977","","","2015-09-04 02:10:04 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","RT @cdnmaple6: @hfxoktoberfest @BigSpruceBrew This made my day! Must attend. Most people go to CB for the trail, but we go for growlers fro…","639470664081145856","281386075","2015-09-03 16:11:01 +0000",""
"635910880262254593","","","2015-08-24 20:25:43 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","I have never missed rain this much in my whole life. Like good proper rain... Wtb","","","",""
"631423861993644032","","","2015-08-12 11:15:54 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","There is not enough coffee in this world for this morning.","","","",""
"631063380795748352","","","2015-08-11 11:23:29 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","RT @ProfBrianCox: ""The Coddling of the American Mind' - why we should ensure we teach students how to think http://t.co/qKmISrdlys","630977889668870144","17939037","2015-08-11 05:43:46 +0000","http://www.theatlantic.com/magazine/archive/2015/09/the-coddling-of-the-american-mind/399356/,http://www.theatlantic.com/magazine/archive/2015/09/the-coddling-of-the-american-mind/399356/"
"625286830062202880","","1329707372","2015-07-26 12:49:32 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@BigSpruceBrew Are you guys going to be open on Natal Day?  Planning a trip to the Cape, and must stop by.","","","",""
"613444164806688768","","","2015-06-23 20:31:00 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","A splash screen is just an apps way of saying ""I am slow""","","","",""
"605103046968930305","","","2015-05-31 20:06:23 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Watching @cdnmaple6 play super Mario 3 is a thing of beauty.  #nerdlife","","","",""
"605051103932256257","","","2015-05-31 16:39:59 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Gee I'm glad it's rainin'.  (In all seriousness though, my word is this what I needed right now)","","","",""
"604246338457473024","","","2015-05-29 11:22:08 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Of all the things I don't think I'll ever get used to, the humidity here tops the list.","","","",""
"603883082811310080","","","2015-05-28 11:18:41 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","In beer, truth. http://t.co/xqlPu97T0D","","","","http://twitter.com/peoii/status/603883082811310080/photo/1"
"603144557098852354","","","2015-05-26 10:24:02 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Very calm morning.  Here is to hoping for some rain!","","","",""
"600363357707862017","","","2015-05-18 18:12:33 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Happy Victoria day to all my Canadian friends out there.","","","",""
"598086634790330369","","","2015-05-12 11:25:40 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Some glorious liquid sunshine out today in Halifax.  Love this weather","","","",""
"595686175823818752","","","2015-05-05 20:27:06 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","What a day... May all printers die in a very office space way.","","","",""
"593000651078160384","","","2015-04-28 10:35:47 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Most days I charge forth in the morning. Today is not one of those days. So out of it.","","","",""
